Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:10:F8,TEXIO TECHNOLOGY CORPORATION,false,MA-L,2015/11/17
00:10:F9,"UNIQUE SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:FA,"Apple, Inc.",false,MA-L,2017/10/11
00:10:FB,ZIDA TECHNOLOGIES LIMITED,false,MA-L,2015/11/17
00:10:FC,"BROADBAND NETWORKS, INC.",false,MA-L,2015/11/17
00:10:FD,COCOM A/S,false,MA-L,2015/11/17
00:10:FE,DIGITAL EQUIPMENT CORPORATION,false,MA-L,2015/11/17
00:10:FF,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:20:00,"LEXMARK INTERNATIONAL, INC.",false,MA-L,2015/11/17
00:20:02,"SERITECH ENTERPRISE CO., LTD.",false,MA-L,2015/11/17
00:20:03,PIXEL POWER LTD.,false,MA-L,2015/11/17
00:20:04,"YAMATAKE-HONEYWELL CO., LTD.",false,MA-L,2015/11/17
00:20:05,SIMPLE TECHNOLOGY,false,MA-L,2015/11/17
00:20:06,"GARRETT COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:20:07,"SFA, INC.",false,MA-L,2015/11/17
00:20:08,CABLE & COMPUTER TECHNOLOGY,false,MA-L,2015/11/17
00:20:09,"PACKARD BELL ELEC., INC.",false,MA-L,2015/11/17
00:20:0A,SOURCE-COMM CORP.,false,MA-L,2015/11/17
00:20:0B,OCTAGON SYSTEMS CORP.,false,MA-L,2015/11/17
00:20:0C,ADASTRA SYSTEMS CORP.,false,MA-L,2015/11/17
00:20:0D,CARL ZEISS,false,MA-L,2015/11/17
00:20:0E,NSSLGlobal Technologies AS,false,MA-L,2017/12/28
00:20:0F,EBRAINS Inc,false,MA-L,2015/11/17
00:20:10,JEOL SYSTEM TECHNOLOGY CO. LTD,false,MA-L,2015/11/17
00:20:11,"CANOPUS CO., LTD.",false,MA-L,2015/11/17
00:20:12,CAMTRONICS MEDICAL SYSTEMS,false,MA-L,2015/11/17
00:20:13,"DIVERSIFIED TECHNOLOGY, INC.",false,MA-L,2015/11/17
00:20:14,"GLOBAL VIEW CO., LTD.",false,MA-L,2015/11/17
00:20:15,ACTIS COMPUTER SA,false,MA-L,2015/11/17
00:20:16,SHOWA ELECTRIC WIRE & CABLE CO,false,MA-L,2015/11/17
00:20:17,ORBOTECH,false,MA-L,2015/11/17
00:20:18,CIS TECHNOLOGY INC.,false,MA-L,2015/11/17
00:20:19,OHLER GMBH,false,MA-L,2015/11/17
00:20:1A,"MRV Communications, Inc.",false,MA-L,2015/11/17
00:20:1B,NORTHERN TELECOM/NETWORK,false,MA-L,2015/11/17
00:20:1C,"EXCEL, INC.",false,MA-L,2015/11/17
00:20:1D,KATANA PRODUCTS,false,MA-L,2015/11/17
00:20:1E,NETQUEST CORPORATION,false,MA-L,2015/11/17
00:20:1F,"BEST POWER TECHNOLOGY, INC.",false,MA-L,2015/11/17
00:20:20,"MEGATRON COMPUTER INDUSTRIES PTY, LTD.",false,MA-L,2015/11/17
00:20:21,ALGORITHMS SOFTWARE PVT. LTD.,false,MA-L,2015/11/17
00:20:22,NMS Communications,false,MA-L,2015/11/17
00:20:23,T.C. TECHNOLOGIES PTY. LTD,false,MA-L,2015/11/17
00:20:24,PACIFIC COMMUNICATION SCIENCES,false,MA-L,2015/11/17
00:20:25,"CONTROL TECHNOLOGY, INC.",false,MA-L,2015/11/17
00:20:26,"AMKLY SYSTEMS, INC.",false,MA-L,2015/11/17
00:20:27,"MING FORTUNE INDUSTRY CO., LTD",false,MA-L,2015/11/17
00:20:28,"WEST EGG SYSTEMS, INC.",false,MA-L,2015/11/17
00:20:29,"TELEPROCESSING PRODUCTS, INC.",false,MA-L,2015/11/17
00:20:2B,"ADVANCED TELECOMMUNICATIONS MODULES, LTD.",false,MA-L,2015/11/17
00:20:2C,"WELLTRONIX CO., LTD.",false,MA-L,2015/11/17
00:20:2D,TAIYO CORPORATION,false,MA-L,2015/11/17
00:20:2E,DAYSTAR DIGITAL,false,MA-L,2015/11/17
00:20:2F,"ZETA COMMUNICATIONS, LTD.",false,MA-L,2015/11/17
00:20:30,ANALOG & DIGITAL SYSTEMS,false,MA-L,2015/11/17
00:20:31,Tattile SRL,false,MA-L,2015/11/17
00:20:32,ALCATEL TAISEL,false,MA-L,2015/11/17
00:20:33,"SYNAPSE TECHNOLOGIES, INC.",false,MA-L,2015/11/17
00:20:34,ROTEC INDUSTRIEAUTOMATION GMBH,false,MA-L,2015/11/17
